evento_id,caso_id,fecha_evento,tipo_evento,estado_anterior,estado_nuevo,agente_id,minutos_desde_anterior,canal_evento,os,dispositivo,navegador,ip_origen,localidad_evento,latitud,longitud,payload_bytes,latencia_ms,resultado,http_status
E001,1001,2026-08-01 08:15,creacion,,Abierto,A01,0,Web,Windows 11,Portatil,Chrome 140,192.0.2.11,Chapinero,4.6483,-74.0638,1840,182,OK,201
E002,1001,2026-08-01 14:20,cambio_estado,Abierto,Cerrado,A03,365,Web_interno,Windows 11,Escritorio,Edge 140,198.51.100.13,Chapinero,4.6483,-74.0638,920,96,OK,200
E003,1002,2026-08-02 09:10,creacion,,Abierto,A02,0,App,Android 16,Movil,App_nativa,203.0.113.22,Suba,4.7410,-74.0840,3240,248,OK,201
E004,1002,2026-08-02 11:00,comentario,Abierto,Abierto,A02,110,App,Android 16,Movil,App_nativa,203.0.113.22,Suba,4.7410,-74.0840,7120,1180,Error,503
E005,1003,2026-08-02 10:30,creacion,,Abierto,A04,0,Web,macOS 15,Portatil,Safari 19,192.0.2.33,Teusaquillo,4.6455,-74.0930,2860,205,OK,201
E006,1003,2026-08-03 08:10,cambio_estado,Abierto,En_proceso,A04,1300,Web_interno,Ubuntu 24.04,Portatil,Firefox 142,198.51.100.44,Teusaquillo,4.6455,-74.0930,1110,104,OK,200
E007,1004,2026-08-03 07:50,creacion,,Abierto,A05,0,Telefono,,Telefono,,,Kennedy,4.6260,-74.1570,640,0,OK,
E008,1004,2026-08-03 12:30,cambio_estado,Abierto,Cerrado,A05,280,Web_interno,Windows 11,Escritorio,Edge 140,198.51.100.55,Kennedy,4.6260,-74.1570,850,88,OK,200
E009,1005,2026-08-04 09:00,creacion,,Abierto,A01,0,App,Android 16,Movil,App_nativa,203.0.113.65,Engativa,4.7080,-74.1110,4980,315,OK,201
E010,1005,2026-08-04 10:15,evidencia,Abierto,Abierto,A01,75,App,Android 16,Movil,App_nativa,203.0.113.65,Engativa,4.7080,-74.1110,12840000,930,Error,413
E011,1006,2026-08-04 18:30,creacion,,Abierto,A02,0,Web,Windows 11,Portatil,Chrome 140,192.0.2.76,Suba,4.7410,-74.0840,1980,171,OK,201
E012,1006,2026-08-04 22:10,cambio_estado,Abierto,Cerrado,A02,220,Web_interno,Windows 11,Escritorio,Edge 140,198.51.100.82,Suba,4.7410,-74.0840,970,92,OK,200
E013,1007,2026-08-05 06:40,creacion,,Abierto,A03,0,App,iOS 19,Movil,App_nativa,2001:db8::17,Usaquen,4.6950,-74.0300,5420,264,OK,201
E014,1007,2026-08-05 09:10,cambio_estado,Abierto,En_proceso,A03,150,Web_interno,Windows 11,Escritorio,Edge 140,198.51.100.93,Usaquen,4.6950,-74.0300,1010,86,OK,200
E015,1008,2026-08-06 10:00,creacion,,Abierto,A05,0,Telefono,,Telefono,,,Bosa,4.6170,-74.1900,590,0,OK,
E016,1008,2026-08-06 14:35,comentario,Abierto,Abierto,A05,275,Web_interno,Windows 11,Escritorio,Chrome 140,198.51.100.105,Bosa,4.6170,-74.1900,1320,113,OK,200
E017,1009,2026-08-07 08:25,creacion,,Abierto,A04,0,Web,Ubuntu 24.04,Portatil,Firefox 142,192.0.2.118,Kennedy,4.6260,-74.1570,2440,224,OK,201
E018,1009,2026-08-07 16:40,cambio_estado,Abierto,Cerrado,A04,495,Web_interno,Ubuntu 24.04,Portatil,Firefox 142,198.51.100.119,Kennedy,4.6260,-74.1570,890,101,OK,200
E019,1010,2026-08-08 11:10,creacion,,Abierto,A01,0,App,Android 16,Movil,App_nativa,203.0.113.130,Chapinero,4.6483,-74.0638,3760,289,OK,201
E020,1010,2026-08-09 07:30,cambio_estado,Abierto,En_proceso,A03,1220,Web_interno,Windows 11,Escritorio,Edge 140,198.51.100.131,Chapinero,4.6483,-74.0638,1040,90,OK,200
E021,1011,2026-08-09 20:10,creacion,,Abierto,A02,0,Web,macOS 15,Portatil,Safari 19,192.0.2.142,Teusaquillo,4.6455,-74.0930,2140,196,OK,201
E022,1011,2026-08-09 21:20,comentario,Abierto,Abierto,A02,70,Web,macOS 15,Portatil,Safari 19,192.0.2.142,Teusaquillo,4.6455,-74.0930,3380,207,OK,200
E023,1012,2026-08-10 05:55,creacion,,Abierto,A03,0,App,iOS 19,Movil,App_nativa,2001:db8::23,Usaquen,4.6950,-74.0300,6110,277,OK,201
E024,1012,2026-08-10 08:15,cambio_estado,Abierto,En_proceso,A03,140,Web_interno,Windows 11,Escritorio,Chrome 140,198.51.100.154,Usaquen,4.6950,-74.0300,1080,99,OK,200
