venta_id,pedido_id,fecha,plato_id,mesero_id,cantidad,precio_unitario,ingreso
1,1,2026-09-04,1,1,2,26000,52000
2,1,2026-09-04,4,1,4,9000,36000
3,2,2026-09-04,2,2,1,34000,34000
4,2,2026-09-04,5,2,2,7500,15000
5,3,2026-09-04,1,1,1,26000,26000
6,4,2026-09-05,3,2,3,30000,90000
7,4,2026-09-05,6,2,2,36000,72000
8,4,2026-09-05,7,2,2,11000,22000
9,7,2026-08-27,14,1,2,27000,54000
10,7,2026-08-27,17,1,3,7000,21000
11,8,2026-08-27,2,2,1,34000,34000
12,8,2026-08-27,10,2,2,10000,20000
13,9,2026-08-27,11,3,1,42000,42000
14,9,2026-08-27,19,3,4,6000,24000
15,10,2026-08-28,9,1,3,8500,25500
16,10,2026-08-28,18,1,2,8500,17000
17,11,2026-08-28,1,2,2,28000,56000
18,11,2026-08-28,4,2,2,9000,18000
19,12,2026-08-28,13,3,1,48000,48000
20,12,2026-08-28,15,3,1,18000,18000
21,13,2026-08-31,3,1,2,30000,60000
22,13,2026-08-31,16,1,2,16000,32000
23,14,2026-08-31,12,2,1,39000,39000
24,14,2026-08-31,5,2,2,7500,15000
25,15,2026-08-31,24,null,4,5000,20000
26,15,2026-08-31,19,null,4,6000,24000
27,16,2026-09-01,1,1,3,28000,84000
28,16,2026-09-01,9,1,3,8500,25500
29,17,2026-09-01,6,2,1,36000,36000
30,17,2026-09-01,7,2,2,11000,22000
31,18,2026-09-01,2,3,2,34000,68000
32,18,2026-09-01,17,3,2,7000,14000
33,19,2026-09-02,14,1,2,27000,54000
34,19,2026-09-02,20,1,2,7500,15000
35,20,2026-09-02,3,2,1,30000,30000
36,20,2026-09-02,21,2,1,12000,12000
37,21,2026-09-02,22,null,2,9000,18000
38,21,2026-09-02,18,null,2,8500,17000
39,22,2026-09-03,1,1,1,28000,28000
40,22,2026-09-03,4,1,1,9000,9000
41,23,2026-09-03,11,2,1,42000,42000
42,23,2026-09-03,15,2,1,18000,18000
43,24,2026-09-03,10,3,3,10000,30000
44,24,2026-09-03,19,3,3,6000,18000
