producto,categoria,proveedor,precio,costo,stock
Active Afeitadora,Deportes,Santander Mayorista,179.41,118.61,102
active agenda,Jardin,Sincelejo Market,29.39,21.52,435
Active Agenda,Jardin,Comercial Caribe,29.39,21.52,348
Active Archivador,Hogar,Insumos Cafeteros,201.4,156.71,270
active archivador,Hogar,Cali Express,201.4,156.71,106
Active Auriculares,Oficina,Envigado Supply,19.38,13.85,71
Active Balanza,Oficina,Madrid Supply,94.93,66.79,188
Active Balon,Alimentos,Dosquebradas Traders,26.85,21.13,20
Active Balon,Alimentos,Mosquera Logistics,26.85,21.13,102
Active Biberon,Oficina,Nariño Trade,110.64,70.74,121
Active Bicicleta,Ropa,Envigado Supply,82.33,59.79,466
Active Boligrafo,Alimentos,Cajica Traders,21.84,16.78,214
Active Botella,Jardin,Pasto Proveedores,106.4,78.59,330
Active Botella,Jardin,Magdalena Supply,106.4,78.59,458
Active Cable,Deportes,Palmira Traders,117.66,74.21,87
Active Cafetera,Belleza,Sincelejo Market,43.02,28.81,372
Active Cafetera,Belleza,Santa Marta Retail,43.02,28.81,99
Active Camisa,Alimentos,Amazonas Traders,21.21,15.46,359
Active Camisa,Alimentos,Altiplano Supply,21.21,15.46,151
Active Cargador,Oficina,Logistica Pacifico,41.9,28.3,130
Active Carpa,Jardin,Pereira Proveedores,170.82,108.51,149
Active Carpeta,Deportes,Meta Comerciales,82.08,56.62,308
Active Cepillo,Belleza,Insumos Cafeteros,86.17,42.14,257
Active Cereal,Ropa,Valledupar Traders,132.84,78.6,343
Active Chaqueta,Ropa,Usaquen Market,73.45,42.79,491
Active Chocolate,Jardin,Nariño Trade,162.9,108.29,413
Active Cinta,Oficina,Palmira Traders,63.23,44.27,293
Active Cinta,Oficina,Suba Supply,63.23,44.27,385
Active Colchoneta,Alimentos,Duitama Market,23.6,17.18,191
Active Copa,Oficina,Madrid Supply,41.8,27.16,443
Active Copa,Oficina,Soacha Distribuciones,41.8,27.16,276
Active Crema,Electronica,Comercial Caribe,408.41,337.5,160
Active Cuaderno,Ropa,Soledad Retail,11.98,8.98,459
Active Cuchillo,Belleza,Barranquilla Hub,69.22,45.76,313
Active Cuchillo,Belleza,Cartagena Hub,69.22,45.76,21
Active Drone,Belleza,La Estrella Supply,63.03,41.95,252
Active Drone,Belleza,Cucuta Comercios,63.03,41.95,235
Active Estante,Electronica,Ibague Market,566.54,429.83,344
Active Estante,Electronica,Funza Commodities,566.54,429.83,48
Active Extensor,Oficina,Itagui Market,7.38,4.84,474
Active Galleta,Hogar,Putumayo Goods,171.87,127.06,58
Active Galleta,Hogar,Ibague Market,171.87,127.06,169
Active Gorra,Oficina,Cajica Traders,116.93,78.11,475
Active Guante,Oficina,Villavicencio Hub,50.87,36.22,187
Active Guante,Oficina,Santa Marta Retail,50.87,36.22,463
Active Guitarra,Belleza,Suba Supply,60.9,42.5,270
Active Jabon,Alimentos,Bogota Central,14.31,10.3,189
Active Jabon,Alimentos,Candelaria Market,14.31,10.3,445
Active Lampara,Jardin,Sincelejo Market,177.22,145.08,174
Active Licuadora,Belleza,Altiplano Supply,29.28,14.58,445
Active Licuadora,Belleza,Madrid Supply,29.28,14.58,50
Active Linterna,Juguetes,Casanare Retail,166.76,100.45,363
Active Maceta,Jardin,Mayoristas del Valle,162.78,114.74,54
active marcador,Deportes,Duitama Market,310.53,195.83,243
Active Mesa,Belleza,Duitama Market,59.69,28.58,319
Active Microfono,Hogar,Eje Cafetero SAS,54.73,45.53,130
Active Mochila,Oficina,Oriente Mercantil,15.2,12.5,484
Active Monitor,Belleza,Bello Traders,51.78,34.73,306
Active Mouse,Belleza,Yumbo Logistics,5.73,3.32,134
Active Mouse,Belleza,Pasto Proveedores,5.73,3.32,20
active mousepad,Ropa,Barranquilla Hub,14.86,8.0,328
Active Muñeco,Electronica,Kennedy Market,689.56,475.51,166
Active Olla,Belleza,Arauca Connect,55.76,30.96,273
Active Pantalon,Jardin,Kennedy Market,24.46,16.49,387
Active Pantalon,Jardin,Bello Traders,24.46,16.49,88
Active Papel,Oficina,Chia Market,27.2,21.36,315
Active Parlante,Hogar,Insumos Cafeteros,190.92,159.39,13
active patin,Oficina,Leticia Traders,60.92,49.26,241
Active Pegante,Deportes,Tolima Proveedores,324.98,221.78,264
Active Pelota,Jardin,Soacha Distribuciones,74.6,57.95,345
Active Perfume,Oficina,Logistica Pacifico,62.38,43.79,52
Active Perfume,Oficina,Bucaramanga Trade,62.38,43.79,385
Active Plancha,Electronica,Ibague Market,151.37,113.1,339
Active Plancha,Electronica,Tunja Retail,151.37,113.1,91
Active Plato,Deportes,Itagui Market,327.97,226.89,366
Active PowerBank,Deportes,Valledupar Traders,353.6,240.05,443
Active ProtectorSolar,Jardin,Yumbo Logistics,92.51,60.92,454
Active ProtectorSolar,Jardin,Funza Commodities,92.51,60.92,427
Active Raqueta,Hogar,Comercial Caribe,109.32,83.32,263
Active Regla,Belleza,Medellin Market,7.77,4.41,430
Active Resaltador,Jardin,Funza Commodities,112.36,80.06,34
Active Resaltador,Jardin,Tunja Trade,112.36,80.06,205
Active Rompecabezas,Juguetes,Atlantico Pro,16.61,10.04,80
Active Router,Deportes,Cota Proveedores,105.44,85.52,419
Active Sacapuntas,Hogar,Chapinero Trade,60.08,41.81,49
Active Sacapuntas,Hogar,Santander Mayorista,60.08,41.81,359
active sarten,Oficina,Neiva Express,70.97,48.92,387
Active Sarten,Oficina,Madrid Supply,70.97,48.92,1
Active Semilla,Deportes,Sincelejo Market,256.94,170.22,389
Active Semilla,Deportes,Quibdo Market,256.94,170.22,53
Active Shampoo,Alimentos,Candelaria Market,25.3,21.06,105
Active Shampoo,Alimentos,Armenia Supply,25.3,21.06,259
Active Silla,Alimentos,Casanare Retail,22.88,16.52,309
Active Switch,Ropa,Santa Marta Retail,11.73,6.78,476
Active Switch,Ropa,Chia Market,11.73,6.78,190
Active Talonario,Electronica,Chapinero Trade,119.9,98.14,401
Active Talonario,Electronica,Fusagasuga Supply,119.9,98.14,217
Active Tambor,Belleza,Casanare Retail,62.74,34.81,43
Active Tambor,Belleza,Oriente Mercantil,62.74,34.81,161
Active Teclado,Deportes,Villavicencio Hub,311.4,228.46,201
Active Teclado,Deportes,Pereira Proveedores,311.4,228.46,445
Active Telefono,Juguetes,Madrid Supply,111.93,77.47,483
Active Tenedor,Electronica,Insumos Cafeteros,329.58,264.23,269
Active Termo,Electronica,Ipiales Trade,582.96,402.78,350
Active Tijera,Electronica,Manizales Market,535.23,435.49,303
Active Toalla,Oficina,Cajica Traders,17.18,11.34,270
Active Tripode,Belleza,La Estrella Supply,60.0,37.57,455
Active Tripode,Belleza,Popayan Logistics,60.0,37.57,461
Active Webcam,Juguetes,Arauca Connect,79.15,48.86,214
Active Zapatilla,Electronica,Magdalena Supply,439.13,310.69,251
Active Zapatilla,Electronica,Medellin Market,439.13,310.69,189
Aero Afeitadora,Ropa,Sabaneta Supply,108.48,61.01,295
Aero Afeitadora,Ropa,Paisa Import,108.48,61.01,212
aero agenda,Oficina,Mayoristas del Valle,40.64,27.96,207
Aero Archivador,Belleza,Atlantico Pro,84.88,41.61,236
Aero Auriculares,Jardin,Cali Express,173.27,143.86,337
Aero Balanza,Oficina,Bogota Central,17.57,14.44,366
Aero Balon,Alimentos,Soacha Distribuciones,19.26,13.89,52
Aero Biberon,Belleza,Engativa Traders,28.73,14.97,279
Aero Bicicleta,Jardin,Popayan Logistics,57.01,36.49,409
Aero Boligrafo,Oficina,Comercial Caribe,18.52,14.54,216
