evento_id,caso_id,fecha_evento,estado,agente_id,minutos_desde_anterior
E001,1001,2026-08-01 08:15,Abierto,A01,0
E002,1001,2026-08-01 14:20,Cerrado,A03,365
E003,1002,2026-08-02 09:10,Abierto,A02,0
E004,1002,2026-08-02 11:00,Abierto,A02,110
E005,1003,2026-08-02 10:30,Abierto,A04,0
E006,1003,2026-08-03 08:10,En_proceso,A04,1300
E007,1004,2026-08-03 07:50,Abierto,A05,0
E008,1004,2026-08-03 12:30,Cerrado,A05,280
E009,1005,2026-08-04 09:00,Abierto,A01,0
E010,1005,2026-08-04 10:15,Abierto,A01,75
E011,1006,2026-08-04 18:30,Abierto,A02,0
E012,1006,2026-08-04 22:10,Cerrado,A02,220
E013,1007,2026-08-05 06:40,Abierto,A03,0
E014,1007,2026-08-05 09:10,En_proceso,A03,150
E015,1008,2026-08-06 10:00,Abierto,A05,0
E016,1008,2026-08-06 14:35,Abierto,A05,275
E017,1009,2026-08-07 08:25,Abierto,A04,0
E018,1009,2026-08-07 16:40,Cerrado,A04,495
E019,1010,2026-08-08 11:10,Abierto,A01,0
E020,1010,2026-08-09 07:30,En_proceso,A03,1220
E021,1011,2026-08-09 20:10,Abierto,A02,0
E022,1011,2026-08-09 21:20,Abierto,A02,70
E023,1012,2026-08-10 05:55,Abierto,A03,0
E024,1012,2026-08-10 08:15,En_proceso,A03,140
