plato_id,nombre,precio_actual
1,Ajiaco santafereño,28000
2,Bandeja paisa,34000
3,Sancocho de gallina,30000
4,Limonada de coco,9000
5,Arepa de choclo,7500
6,Sobrebarriga al horno,36000
7,Postre de natas,11000
8,Tamal tolimense,22000
9,Empanadas de pipián,8500
10,Patacones con hogao,10000
11,Cazuela de mariscos,42000
12,Trucha al ajillo,39000
13,Lomo al trapo,48000
14,Pollo sudado,27000
15,Ensalada campesina,18000
16,Sopa de guineo,16000
17,Jugo de lulo,7000
18,Chocolate santafereño,8500
19,Café colombiano,6000
20,Avena casera,7500
21,Brevas con arequipe,12000
22,Oblea bogotana,9000
23,Helado de curuba,10000
24,Pan de bono recién horneado,5000
